[addition] 7 + 59 | 66
[addition] 90 + 1 | 91
[copying] ISQ | ISQISQISQ
[reversing] 9 3 9 9 | 9 9 3 9
[relations] E571 is parent of E402. E402 is parent of E570. Who is the ancestor 2 of E570? | E571
[reversing] 0 8 5 4 3 1 0 8 2 5 2 9 | 9 2 5 2 8 0 1 3 4 5 8 0
[sorting] 0 7 8 6 | 0 6 7 8
[addition] 6 + 784 | 790
[sorting] 1 8 7 4 7 9 1 1 5 6 | 1 1 1 4 5 6 7 7 8 9
[reversing] 1 3 4 9 1 | 1 9 4 3 1
[copying] KM | KMKMKMKM
[addition] 46 + 7 | 53
[reversing] 4 3 3 3 3 3 7 8 7 | 7 8 7 3 3 3 3 3 4
[addition] 4 + 7 | 11
[addition] 52 + 9 | 61
[relations] E177 is parent of E827. E827 is parent of E707. Who is the ancestor 2 of E707? | E177
[reversing] 0 8 6 4 7 0 1 1 7 9 | 9 7 1 1 0 7 4 6 8 0
[sorting] 8 1 9 9 0 2 6 3 1 | 0 1 1 2 3 6 8 9 9
[reversing] 1 5 5 6 0 | 0 6 5 5 1
[relations] E460 is parent of E332. Who is the ancestor 1 of E332? | E460
[addition] 6 + 0 | 6
[copying] SUSQAW | SUSQAWSUSQAWSUSQAW
[reversing] 7 3 0 | 0 3 7
[copying] YU | YUYUYUYU
[reversing] 1 3 4 9 1 | 1 9 4 3 1
[copying] SURO | SUROSURO
[relations] E288 is parent of E404. Who is the ancestor 1 of E404? | E288
[addition] 3 + 3 | 6
[relations] E238 is parent of E533. E533 is parent of E610. Who is the ancestor 2 of E610? | E238
[sorting] 6 6 8 0 8 6 | 0 6 6 6 8 8
[reversing] 3 5 7 | 7 5 3
[sorting] 8 0 6 4 2 6 3 0 8 5 | 0 0 2 3 4 5 6 6 8 8
[reversing] 2 0 8 7 4 8 1 6 | 6 1 8 4 7 8 0 2
[copying] MVP | MVPMVP
[relations] E385 is parent of E220. E220 is parent of E643. Who is the ancestor 2 of E643? | E385
[addition] 6 + 2 | 8
[copying] ZS | ZSZS
[addition] 14 + 9 | 23
[relations] E565 is parent of E643. E643 is parent of E753. Who is the ancestor 2 of E753? | E565
[addition] 37 + 4 | 41
[sorting] 2 7 8 3 5 9 7 8 2 3 | 2 2 3 3 5 7 7 8 8 9
[sorting] 6 3 2 0 9 7 5 6 | 0 2 3 5 6 6 7 9
[relations] E960 is parent of E30. Who is the ancestor 1 of E30? | E960
[reversing] 1 4 6 3 0 0 9 1 3 5 | 5 3 1 9 0 0 3 6 4 1
[reversing] 6 9 5 | 5 9 6
[relations] E280 is parent of E130. Who is the ancestor 1 of E130? | E280
[addition] 990 + 20 | 1010
[reversing] 0 8 9 7 | 7 9 8 0
[addition] 84 + 99 | 183
[reversing] 8 6 3 0 1 5 2 5 | 5 2 5 1 0 3 6 8
[relations] E822 is parent of E197. E197 is parent of E903. Who is the ancestor 2 of E903? | E822
[relations] E853 is parent of E94. Who is the ancestor 1 of E94? | E853
[copying] KM | KMKM
[relations] E177 is parent of E827. E827 is parent of E707. Who is the ancestor 2 of E707? | E177
[relations] E247 is parent of E466. E466 is parent of E278. Who is the ancestor 2 of E278? | E247
[sorting] 2 3 5 8 1 | 1 2 3 5 8
[addition] 1 + 48 | 49
[addition] 8 + 43 | 51
[reversing] 4 1 3 6 | 6 3 1 4
[relations] E911 is parent of E340. E340 is parent of E988. Who is the ancestor 2 of E988? | E911
[reversing] 9 5 6 3 2 9 4 | 4 9 2 3 6 5 9
[copying] DAXQ | DAXQDAXQ
[sorting] 1 3 4 3 2 1 3 4 8 | 1 1 2 3 3 3 4 4 8
[reversing] 8 5 2 9 9 1 5 | 5 1 9 9 2 5 8
[addition] 5 + 3 | 8
[reversing] 6 8 8 9 3 9 4 8 7 9 1 | 1 9 7 8 4 9 3 9 8 8 6
[sorting] 0 5 2 5 8 6 5 4 2 | 0 2 2 4 5 5 5 6 8
[reversing] 4 0 2 1 7 | 7 1 2 0 4
[sorting] 5 3 3 1 8 2 1 9 | 1 1 2 3 3 5 8 9
[addition] 23 + 425 | 448
[reversing] 6 4 3 9 1 3 8 5 8 3 | 3 8 5 8 3 1 9 3 4 6
[reversing] 2 1 1 | 1 1 2
[sorting] 2 6 7 6 8 2 7 4 4 8 0 3 | 0 2 2 3 4 4 6 6 7 7 8 8
[addition] 1 + 5 | 6
[reversing] 0 7 1 2 2 6 7 0 | 0 7 6 2 2 1 7 0
[addition] 0 + 13 | 13
[addition] 72 + 9 | 81
[reversing] 7 8 8 1 3 0 9 1 6 4 | 4 6 1 9 0 3 1 8 8 7
[sorting] 9 3 6 4 6 9 3 0 0 2 1 6 | 0 0 1 2 3 3 4 6 6 6 9 9
[reversing] 4 6 7 8 | 8 7 6 4
[reversing] 4 7 6 4 9 1 2 5 | 5 2 1 9 4 6 7 4
[sorting] 1 6 0 9 | 0 1 6 9
[sorting] 1 8 9 8 7 6 8 9 | 1 6 7 8 8 8 9 9
[reversing] 9 8 5 7 5 0 8 | 8 0 5 7 5 8 9
[reversing] 8 5 2 | 2 5 8
[relations] E591 is parent of E950. E950 is parent of E133. Who is the ancestor 2 of E133? | E591
[copying] SWHKEC | SWHKECSWHKEC
[addition] 943 + 664 | 1607
[reversing] 9 3 1 8 4 8 | 8 4 8 1 3 9
[reversing] 9 8 9 7 0 1 2 3 5 1 4 | 4 1 5 3 2 1 0 7 9 8 9
[sorting] 6 9 1 8 4 6 5 7 8 | 1 4 5 6 6 7 8 8 9
[addition] 53 + 63 | 116
[reversing] 0 3 0 0 2 9 4 2 | 2 4 9 2 0 0 3 0
[reversing] 6 4 3 0 7 | 7 0 3 4 6
[addition] 484 + 6 | 490
[copying] JEUH | JEUHJEUHJEUH
[addition] 24 + 8 | 32
[relations] E786 is parent of E905. Who is the ancestor 1 of E905? | E786
[reversing] 8 5 2 | 2 5 8
[sorting] 8 8 6 0 9 0 8 5 0 5 | 0 0 0 5 5 6 8 8 8 9
[sorting] 0 2 1 7 5 7 4 9 6 1 6 | 0 1 1 2 4 5 6 6 7 7 9
[addition] 9 + 3 | 12
[sorting] 3 0 0 1 1 | 0 0 1 1 3
[addition] 772 + 0 | 772
[sorting] 0 6 8 3 7 | 0 3 6 7 8
[sorting] 1 6 5 1 0 5 3 0 1 | 0 0 1 1 1 3 5 5 6
[relations] E799 is parent of E791. Who is the ancestor 1 of E791? | E799
[reversing] 0 9 9 9 7 9 0 3 8 2 7 | 7 2 8 3 0 9 7 9 9 9 0
[addition] 3 + 7 | 10
[relations] E27 is parent of E777. E777 is parent of E936. Who is the ancestor 2 of E936? | E27
[addition] 44 + 96 | 140
[addition] 4 + 844 | 848
[relations] E119 is parent of E601. E601 is parent of E476. Who is the ancestor 2 of E476? | E119
[reversing] 7 5 6 6 7 2 1 9 7 0 1 | 1 0 7 9 1 2 7 6 6 5 7
[copying] ZO | ZOZOZO
[addition] 3 + 660 | 663
[addition] 7 + 623 | 630
[addition] 88 + 35 | 123
[relations] E956 is parent of E774. E774 is parent of E408. Who is the ancestor 2 of E408? | E956
[reversing] 2 6 2 9 6 4 5 5 0 | 0 5 5 4 6 9 2 6 2
[addition] 96 + 2 | 98
[relations] E893 is parent of E535. Who is the ancestor 1 of E535? | E893
[addition] 8 + 58 | 66
[addition] 6 + 9 | 15
[copying] XCDJL | XCDJLXCDJL
[addition] 176 + 5 | 181
[reversing] 1 3 6 3 6 3 | 3 6 3 6 3 1
[reversing] 0 1 9 6 1 0 6 4 8 8 | 8 8 4 6 0 1 6 9 1 0
[copying] QZV | QZVQZVQZVQZV
[reversing] 8 5 8 | 8 5 8
[reversing] 4 3 7 1 5 8 3 7 1 | 1 7 3 8 5 1 7 3 4
[relations] E504 is parent of E796. E796 is parent of E90. Who is the ancestor 2 of E90? | E504
[copying] TE | TETETE
[reversing] 0 9 2 6 6 5 3 3 | 3 3 5 6 6 2 9 0
[reversing] 1 4 0 7 2 8 3 8 | 8 3 8 2 7 0 4 1
[relations] E890 is parent of E308. Who is the ancestor 1 of E308? | E890
[reversing] 4 6 6 9 5 9 2 0 9 8 7 | 7 8 9 0 2 9 5 9 6 6 4
[addition] 47 + 59 | 106
[addition] 96 + 2 | 98
[reversing] 0 2 9 0 3 1 | 1 3 0 9 2 0
[reversing] 6 2 7 7 3 8 0 0 4 | 4 0 0 8 3 7 7 2 6
[reversing] 4 2 7 0 9 3 9 2 4 | 4 2 9 3 9 0 7 2 4
[addition] 38 + 47 | 85
[sorting] 5 0 7 7 0 1 5 7 0 2 8 5 | 0 0 0 1 2 5 5 5 7 7 7 8
[copying] YZLKYB | YZLKYBYZLKYB
[sorting] 8 8 3 7 9 4 3 9 7 2 1 8 | 1 2 3 3 4 7 7 8 8 8 9 9
[relations] E504 is parent of E155. E155 is parent of E968. Who is the ancestor 2 of E968? | E504
[copying] DMAOND | DMAONDDMAOND
[sorting] 0 0 5 1 3 9 7 | 0 0 1 3 5 7 9
[copying] YS | YSYSYSYS
[addition] 895 + 5 | 900
[sorting] 7 6 4 0 0 1 9 4 | 0 0 1 4 4 6 7 9
[sorting] 0 4 8 3 3 6 | 0 3 3 4 6 8
[relations] E500 is parent of E353. Who is the ancestor 1 of E353? | E500
[sorting] 9 7 0 4 5 5 1 8 | 0 1 4 5 5 7 8 9
[relations] E368 is parent of E796. E796 is parent of E495. Who is the ancestor 2 of E495? | E368
[copying] DROR | DRORDRORDRORDROR
[addition] 3 + 4 | 7
[copying] HNJL | HNJLHNJLHNJL
[copying] GQH | GQHGQH
[copying] BLQLQ | BLQLQBLQLQ
[relations] E555 is parent of E345. Who is the ancestor 1 of E345? | E555
[relations] E822 is parent of E197. E197 is parent of E903. Who is the ancestor 2 of E903? | E822
[relations] E36 is parent of E727. Who is the ancestor 1 of E727? | E36
[reversing] 5 3 5 5 7 2 0 5 9 4 3 | 3 4 9 5 0 2 7 5 5 3 5
[copying] HJO | HJOHJO
[addition] 2 + 66 | 68
[relations] E618 is parent of E27. Who is the ancestor 1 of E27? | E618
[sorting] 1 6 5 1 0 5 3 0 1 | 0 0 1 1 1 3 5 5 6
[sorting] 0 2 1 7 5 7 4 9 6 1 6 | 0 1 1 2 4 5 6 6 7 7 9
[reversing] 5 3 1 8 8 2 6 9 | 9 6 2 8 8 1 3 5
[copying] POZTBM | POZTBMPOZTBM
[copying] LTJT | LTJTLTJT
[relations] E129 is parent of E396. E396 is parent of E666. Who is the ancestor 2 of E666? | E129
[relations] E870 is parent of E28. Who is the ancestor 1 of E28? | E870
[copying] CV | CVCVCV
[addition] 5 + 4 | 9
[copying] ROD | RODRODROD
[addition] 4 + 657 | 661
[copying] XGQAAC | XGQAACXGQAAC
[relations] E602 is parent of E138. Who is the ancestor 1 of E138? | E602
[addition] 8 + 54 | 62
[sorting] 0 4 0 8 2 | 0 0 2 4 8
[copying] HGWJIO | HGWJIOHGWJIOHGWJIOHGWJIO
[sorting] 4 8 0 9 7 4 6 7 7 9 7 7 | 0 4 4 6 7 7 7 7 7 8 9 9
[copying] XB | XBXBXB
[copying] GC | GCGCGC
[relations] E154 is parent of E942. E942 is parent of E760. Who is the ancestor 2 of E760? | E154
[relations] E86 is parent of E255. Who is the ancestor 1 of E255? | E86
[copying] IERNMP | IERNMPIERNMPIERNMP
[relations] E382 is parent of E562. Who is the ancestor 1 of E562? | E382
[relations] E55 is parent of E477. Who is the ancestor 1 of E477? | E55
[reversing] 3 5 7 | 7 5 3
[sorting] 0 2 3 9 | 0 2 3 9
[sorting] 6 6 8 5 6 1 5 6 9 | 1 5 5 6 6 6 6 8 9
[reversing] 3 1 5 6 1 2 2 1 4 1 | 1 4 1 2 2 1 6 5 1 3
[reversing] 4 6 3 8 6 8 5 0 3 5 | 5 3 0 5 8 6 8 3 6 4
[sorting] 7 2 5 3 8 9 6 3 | 2 3 3 5 6 7 8 9
[sorting] 6 9 1 8 4 6 5 7 8 | 1 4 5 6 6 7 8 8 9
[reversing] 7 3 1 8 2 8 1 1 | 1 1 8 2 8 1 3 7
[sorting] 7 1 0 2 4 7 4 9 8 | 0 1 2 4 4 7 7 8 9
[sorting] 8 8 0 7 8 3 0 8 4 7 5 | 0 0 3 4 5 7 7 8 8 8 8
[sorting] 9 1 0 9 9 0 2 4 7 2 5 0 | 0 0 0 1 2 2 4 5 7 9 9 9
[reversing] 3 1 4 2 | 2 4 1 3
[addition] 22 + 146 | 168
[sorting] 0 7 4 2 8 | 0 2 4 7 8
[relations] E148 is parent of E962. E962 is parent of E760. Who is the ancestor 2 of E760? | E148
[reversing] 3 1 1 | 1 1 3
[addition] 1 + 24 | 25
[sorting] 4 8 7 5 2 4 | 2 4 4 5 7 8
[copying] JEHSOP | JEHSOPJEHSOPJEHSOPJEHSOP
[reversing] 9 0 5 0 | 0 5 0 9
[copying] DN | DNDNDNDN
[sorting] 9 4 3 8 1 8 9 9 0 1 6 | 0 1 1 3 4 6 8 8 9 9 9
[reversing] 3 1 6 7 9 1 8 | 8 1 9 7 6 1 3
[addition] 820 + 52 | 872
[relations] E326 is parent of E498. E498 is parent of E151. Who is the ancestor 2 of E151? | E326
[copying] JLFP | JLFPJLFPJLFP
[addition] 13 + 2 | 15
[copying] EXSPKA | EXSPKAEXSPKAEXSPKAEXSPKA
[sorting] 2 6 7 7 | 2 6 7 7
[reversing] 8 5 2 | 2 5 8
[reversing] 6 2 5 8 7 9 | 9 7 8 5 2 6
[relations] E912 is parent of E6. E6 is parent of E325. Who is the ancestor 2 of E325? | E912
[reversing] 4 8 0 2 2 3 2 9 3 1 9 5 | 5 9 1 3 9 2 3 2 2 0 8 4
[relations] E677 is parent of E771. Who is the ancestor 1 of E771? | E677
[reversing] 7 7 3 0 0 7 9 0 9 6 8 3 | 3 8 6 9 0 9 7 0 0 3 7 7
[reversing] 5 3 9 7 1 | 1 7 9 3 5
[addition] 448 + 1 | 449
[addition] 3 + 73 | 76
[relations] E858 is parent of E664. E664 is parent of E187. Who is the ancestor 2 of E187? | E858
[sorting] 9 3 9 3 | 3 3 9 9
[addition] 90 + 1 | 91
[copying] LY | LYLYLYLY
[copying] QTKY | QTKYQTKY
[reversing] 1 7 6 7 | 7 6 7 1
[sorting] 4 6 3 2 6 7 | 2 3 4 6 6 7
[reversing] 2 0 8 7 4 8 1 6 | 6 1 8 4 7 8 0 2
[copying] YGPCQ | YGPCQYGPCQYGPCQ
[copying] UP | UPUPUP
[reversing] 9 8 5 7 5 0 8 | 8 0 5 7 5 8 9
[copying] KG | KGKGKGKG
[reversing] 9 5 7 4 9 9 | 9 9 4 7 5 9
[sorting] 8 9 9 5 2 9 | 2 5 8 9 9 9
[copying] RFMA | RFMARFMARFMARFMA
[copying] FGRESX | FGRESXFGRESX
[sorting] 7 5 7 5 1 6 9 3 9 | 1 3 5 5 6 7 7 9 9
[sorting] 6 1 4 3 0 2 3 4 1 0 6 | 0 0 1 1 2 3 3 4 4 6 6
[reversing] 9 3 9 3 9 2 0 7 7 7 | 7 7 7 0 2 9 3 9 3 9
[addition] 955 + 455 | 1410
[addition] 965 + 727 | 1692
[sorting] 9 6 5 6 9 7 8 0 | 0 5 6 6 7 8 9 9
[relations] E139 is parent of E616. E616 is parent of E663. Who is the ancestor 2 of E663? | E139
[relations] E137 is parent of E638. Who is the ancestor 1 of E638? | E137
[relations] E288 is parent of E372. E372 is parent of E506. Who is the ancestor 2 of E506? | E288
[addition] 658 + 37 | 695
[sorting] 4 0 1 8 4 | 0 1 4 4 8
[copying] LYXPZ | LYXPZLYXPZ
[relations] E6 is parent of E852. Who is the ancestor 1 of E852? | E6
[relations] E31 is parent of E368. E368 is parent of E977. Who is the ancestor 2 of E977? | E31
[relations] E109 is parent of E312. Who is the ancestor 1 of E312? | E109
[relations] E357 is parent of E82. E82 is parent of E951. Who is the ancestor 2 of E951? | E357
[copying] MKIXA | MKIXAMKIXAMKIXA
[reversing] 2 9 1 | 1 9 2
[copying] PS | PSPS
[addition] 4 + 6 | 10
[relations] E763 is parent of E753. Who is the ancestor 1 of E753? | E763
[copying] FRXKAS | FRXKASFRXKASFRXKAS
[addition] 6 + 7 | 13
[reversing] 6 3 6 | 6 3 6
[addition] 285 + 140 | 425
[addition] 17 + 75 | 92
[addition] 6 + 1 | 7
[sorting] 3 2 6 6 5 6 | 2 3 5 6 6 6
[copying] NZWLHR | NZWLHRNZWLHRNZWLHR
[sorting] 5 9 6 1 2 0 8 0 8 | 0 0 1 2 5 6 8 8 9
[relations] E720 is parent of E888. E888 is parent of E304. Who is the ancestor 2 of E304? | E720
[copying] FXLOSE | FXLOSEFXLOSEFXLOSEFXLOSE
[copying] ISQ | ISQISQISQ
[sorting] 0 7 8 6 | 0 6 7 8
[reversing] 6 7 2 | 2 7 6
[sorting] 8 1 8 2 1 | 1 1 2 8 8
[addition] 53 + 782 | 835
[sorting] 5 8 2 2 | 2 2 5 8
[reversing] 5 2 1 3 1 | 1 3 1 2 5
[sorting] 0 6 7 9 0 2 | 0 0 2 6 7 9
[copying] JFYRP | JFYRPJFYRP
[sorting] 0 5 8 7 3 7 | 0 3 5 7 7 8
[addition] 4 + 8 | 12
[addition] 42 + 599 | 641
[reversing] 2 6 1 2 3 0 5 | 5 0 3 2 1 6 2
[sorting] 2 6 6 4 4 5 3 6 | 2 3 4 4 5 6 6 6
[reversing] 0 4 7 3 9 3 7 9 8 6 | 6 8 9 7 3 9 3 7 4 0
[relations] E20 is parent of E420. Who is the ancestor 1 of E420? | E20
[relations] E177 is parent of E827. E827 is parent of E707. Who is the ancestor 2 of E707? | E177
[relations] E764 is parent of E227. Who is the ancestor 1 of E227? | E764
[reversing] 1 2 1 | 1 2 1
[addition] 583 + 549 | 1132
[relations] E74 is parent of E191. E191 is parent of E413. Who is the ancestor 2 of E413? | E74
[addition] 4 + 6 | 10
[sorting] 9 1 7 1 5 9 9 | 1 1 5 7 9 9 9
[reversing] 5 6 0 7 9 1 5 8 | 8 5 1 9 7 0 6 5
[addition] 3 + 8 | 11
[addition] 907 + 88 | 995
[sorting] 9 3 6 4 6 9 3 0 0 2 1 6 | 0 0 1 2 3 3 4 6 6 6 9 9
[sorting] 3 8 4 8 | 3 4 8 8
[reversing] 6 7 2 8 7 | 7 8 2 7 6
[addition] 42 + 0 | 42
[sorting] 4 6 0 5 6 8 4 2 3 3 6 9 | 0 2 3 3 4 4 5 6 6 6 8 9
[reversing] 9 4 3 2 7 1 5 9 0 1 | 1 0 9 5 1 7 2 3 4 9
[sorting] 0 7 4 1 7 2 1 | 0 1 1 2 4 7 7
[addition] 36 + 58 | 94
[relations] E323 is parent of E597. E597 is parent of E559. Who is the ancestor 2 of E559? | E323
[sorting] 3 2 6 6 5 6 | 2 3 5 6 6 6
[relations] E909 is parent of E389. Who is the ancestor 1 of E389? | E909
[copying] XOC | XOCXOCXOCXOC
[sorting] 1 4 5 0 9 0 0 1 5 | 0 0 0 1 1 4 5 5 9
[relations] E115 is parent of E432. Who is the ancestor 1 of E432? | E115
[copying] ORVR | ORVRORVR
[reversing] 4 8 7 | 7 8 4
[relations] E155 is parent of E927. Who is the ancestor 1 of E927? | E155
[reversing] 5 1 2 2 | 2 2 1 5
[addition] 7 + 65 | 72
[relations] E452 is parent of E611. Who is the ancestor 1 of E611? | E452
[sorting] 4 6 0 5 6 8 4 2 3 3 6 9 | 0 2 3 3 4 4 5 6 6 6 8 9
[reversing] 5 8 0 0 | 0 0 8 5
[reversing] 9 8 5 5 8 6 4 5 | 5 4 6 8 5 5 8 9
[addition] 26 + 17 | 43
[copying] QRCI | QRCIQRCI
[relations] E390 is parent of E713. E713 is parent of E83. Who is the ancestor 2 of E83? | E390
[reversing] 0 6 8 6 9 7 2 4 5 4 0 0 | 0 0 4 5 4 2 7 9 6 8 6 0
[addition] 4 + 3 | 7
[relations] E288 is parent of E404. Who is the ancestor 1 of E404? | E288
[relations] E469 is parent of E795. Who is the ancestor 1 of E795? | E469
[reversing] 3 2 5 8 3 1 7 0 7 | 7 0 7 1 3 8 5 2 3
[addition] 4 + 80 | 84
