[addition] 22468 + 38614 | 61082
[sorting] 0 5 4 5 9 4 8 2 2 9 6 | 0 2 2 4 4 5 5 6 8 9 9
[reversing] 0 4 9 9 2 | 2 9 9 4 0
[addition] 3 + 16 | 19
[relations] E182 is parent of E452. Who is the ancestor 1 of E452? | E182
[sorting] 6 9 6 1 | 1 6 6 9
[relations] E753 is parent of E54. Who is the ancestor 1 of E54? | E753
[reversing] 6 7 0 5 8 0 4 | 4 0 8 5 0 7 6
[addition] 62 + 5 | 67
[reversing] 1 4 1 4 4 3 4 7 5 0 2 | 2 0 5 7 4 3 4 4 1 4 1
[sorting] 3 8 5 1 6 2 9 4 | 1 2 3 4 5 6 8 9
[reversing] 0 7 8 | 8 7 0
[sorting] 1 9 5 9 7 2 0 | 0 1 2 5 7 9 9
[relations] E269 is parent of E71. Who is the ancestor 1 of E71? | E269
[addition] 5 + 59 | 64
[sorting] 5 1 7 4 1 7 5 | 1 1 4 5 5 7 7
[reversing] 2 3 2 8 2 | 2 8 2 3 2
[copying] SQPQG | SQPQGSQPQGSQPQG
[copying] XJM | XJMXJM
[copying] RBZBX | RBZBXRBZBX
[reversing] 1 1 4 5 7 6 3 8 1 7 2 3 | 3 2 7 1 8 3 6 7 5 4 1 1
[addition] 3 + 73 | 76
[sorting] 7 3 1 9 6 3 1 3 8 | 1 1 3 3 3 6 7 8 9
[sorting] 3 8 9 2 5 2 0 2 | 0 2 2 2 3 5 8 9
[reversing] 7 3 7 4 0 2 6 | 6 2 0 4 7 3 7
[reversing] 9 6 9 4 6 5 6 | 6 5 6 4 9 6 9
[sorting] 8 7 4 6 5 7 8 | 4 5 6 7 7 8 8
[sorting] 5 3 4 4 2 | 2 3 4 4 5
[reversing] 3 9 5 2 | 2 5 9 3
[reversing] 8 8 0 5 | 5 0 8 8
[reversing] 4 1 6 5 5 1 6 1 7 7 2 | 2 7 7 1 6 1 5 5 6 1 4
[copying] KBF | KBFKBF
[relations] E291 is parent of E732. E732 is parent of E219. Who is the ancestor 2 of E219? | E291
[relations] E707 is parent of E948. E948 is parent of E823. Who is the ancestor 2 of E823? | E707
[sorting] 5 9 6 2 3 5 8 6 8 0 5 | 0 2 3 5 5 5 6 6 8 8 9
[copying] KT | KTKTKT
[sorting] 9 4 5 8 7 6 7 1 4 9 7 3 | 1 3 4 4 5 6 7 7 7 8 9 9
[copying] PUVF | PUVFPUVFPUVF
[reversing] 5 5 0 5 9 5 3 8 0 | 0 8 3 5 9 5 0 5 5
[relations] E382 is parent of E562. Who is the ancestor 1 of E562? | E382
[relations] E521 is parent of E920. Who is the ancestor 1 of E920? | E521
[reversing] 5 8 7 9 2 6 | 6 2 9 7 8 5
[reversing] 8 9 3 7 5 0 6 | 6 0 5 7 3 9 8
[reversing] 5 9 2 1 4 8 | 8 4 1 2 9 5
[addition] 6 + 500 | 506
[addition] 55 + 399 | 454
[reversing] 9 8 5 3 4 8 7 7 8 3 | 3 8 7 7 8 4 3 5 8 9
[addition] 26 + 6 | 32
[relations] E131 is parent of E79. E79 is parent of E963. Who is the ancestor 2 of E963? | E131
[relations] E154 is parent of E510. Who is the ancestor 1 of E510? | E154
[addition] 961 + 257 | 1218
[relations] E386 is parent of E73. Who is the ancestor 1 of E73? | E386
[reversing] 8 1 8 6 3 6 5 | 5 6 3 6 8 1 8
[copying] LH | LHLH
[addition] 167 + 4 | 171
[addition] 718 + 7 | 725
[sorting] 5 0 8 8 9 2 8 9 | 0 2 5 8 8 8 9 9
[relations] E323 is parent of E597. E597 is parent of E559. Who is the ancestor 2 of E559? | E323
[relations] E413 is parent of E979. Who is the ancestor 1 of E979? | E413
[addition] 911 + 197 | 1108
[relations] E123 is parent of E607. Who is the ancestor 1 of E607? | E123
[addition] 5 + 892 | 897
[reversing] 9 1 8 | 8 1 9
[sorting] 5 9 5 6 9 5 2 | 2 5 5 5 6 9 9
[addition] 5 + 944 | 949
[relations] E353 is parent of E920. Who is the ancestor 1 of E920? | E353
[relations] E686 is parent of E42. Who is the ancestor 1 of E42? | E686
[relations] E407 is parent of E504. Who is the ancestor 1 of E504? | E407
[addition] 759 + 0 | 759
[sorting] 5 5 9 1 4 7 3 6 5 7 | 1 3 4 5 5 5 6 7 7 9
[sorting] 3 2 3 9 6 8 9 2 7 7 | 2 2 3 3 6 7 7 8 9 9
[relations] E386 is parent of E568. Who is the ancestor 1 of E568? | E386
[copying] WPTG | WPTGWPTGWPTG
[copying] LCDUP | LCDUPLCDUPLCDUP
[copying] MPT | MPTMPT
[relations] E454 is parent of E675. Who is the ancestor 1 of E675? | E454
[reversing] 6 6 7 8 3 | 3 8 7 6 6
[reversing] 8 2 9 6 | 6 9 2 8
[reversing] 1 4 6 1 7 7 3 | 3 7 7 1 6 4 1
[sorting] 3 2 2 6 9 | 2 2 3 6 9
[copying] PZP | PZPPZPPZP
[reversing] 8 3 4 5 8 5 3 1 1 6 7 8 | 8 7 6 1 1 3 5 8 5 4 3 8
[sorting] 3 8 4 4 | 3 4 4 8
[sorting] 8 7 4 4 | 4 4 7 8
[reversing] 0 5 1 0 2 | 2 0 1 5 0
[copying] EOL | EOLEOL
[sorting] 9 5 5 2 0 0 2 0 | 0 0 0 2 2 5 5 9
[sorting] 0 1 5 5 4 | 0 1 4 5 5
[sorting] 0 2 0 5 4 0 3 6 3 7 3 5 | 0 0 0 2 3 3 3 4 5 5 6 7
[addition] 367 + 78 | 445
[relations] E21 is parent of E902. Who is the ancestor 1 of E902? | E21
[addition] 5 + 143 | 148
[relations] E434 is parent of E564. E564 is parent of E704. Who is the ancestor 2 of E704? | E434
[sorting] 0 5 1 3 1 9 9 9 | 0 1 1 3 5 9 9 9
[relations] E212 is parent of E883. Who is the ancestor 1 of E883? | E212
[sorting] 7 7 8 5 0 3 2 9 9 | 0 2 3 5 7 7 8 9 9
[reversing] 1 8 2 0 | 0 2 8 1
[copying] JBLP | JBLPJBLP
[sorting] 6 5 6 3 9 5 2 9 5 | 2 3 5 5 5 6 6 9 9
[sorting] 5 9 3 9 6 1 3 6 8 9 9 6 | 1 3 3 5 6 6 6 8 9 9 9 9
[reversing] 2 8 7 1 2 2 9 | 9 2 2 1 7 8 2
[addition] 106 + 739 | 845
[copying] MSWE | MSWEMSWEMSWE
[relations] E22 is parent of E437. E437 is parent of E382. Who is the ancestor 2 of E382? | E22
[addition] 1 + 0 | 1
[addition] 6 + 244 | 250
[reversing] 0 7 2 | 2 7 0
[relations] E123 is parent of E257. E257 is parent of E216. Who is the ancestor 2 of E216? | E123
[addition] 7 + 849 | 856
[relations] E905 is parent of E781. E781 is parent of E345. Who is the ancestor 2 of E345? | E905
[reversing] 7 6 9 3 4 | 4 3 9 6 7
[reversing] 6 2 5 7 7 3 2 4 | 4 2 3 7 7 5 2 6
[relations] E248 is parent of E393. E393 is parent of E382. Who is the ancestor 2 of E382? | E248
[addition] 493 + 8 | 501
[copying] AZS | AZSAZS
[relations] E756 is parent of E76. E76 is parent of E291. Who is the ancestor 2 of E291? | E756
[reversing] 5 3 2 4 1 6 | 6 1 4 2 3 5
[sorting] 3 2 0 9 9 4 7 | 0 2 3 4 7 9 9
[sorting] 9 1 1 3 5 9 0 3 | 0 1 1 3 3 5 9 9
[copying] SQK | SQKSQK
[sorting] 4 1 9 8 4 0 1 3 3 8 8 | 0 1 1 3 3 4 4 8 8 8 9
[copying] UIZP | UIZPUIZP
[addition] 695 + 71 | 766
[reversing] 5 3 5 3 8 0 6 3 6 | 6 3 6 0 8 3 5 3 5
[addition] 96 + 4 | 100
[relations] E584 is parent of E430. E430 is parent of E994. Who is the ancestor 2 of E994? | E584
[sorting] 1 1 3 4 3 1 | 1 1 1 3 3 4
[copying] VXMTKL | VXMTKLVXMTKLVXMTKL
[addition] 79 + 2 | 81
[relations] E599 is parent of E560. Who is the ancestor 1 of E560? | E599
[relations] E850 is parent of E305. E305 is parent of E213. Who is the ancestor 2 of E213? | E850
[sorting] 9 5 1 8 | 1 5 8 9
[addition] 818 + 74 | 892
[addition] 0 + 95 | 95
[sorting] 7 2 1 2 2 3 2 3 2 5 8 | 1 2 2 2 2 2 3 3 5 7 8
[sorting] 9 0 2 4 | 0 2 4 9
[copying] IUK | IUKIUKIUK
[copying] PBS | PBSPBS
[reversing] 3 7 8 3 3 4 7 3 5 0 | 0 5 3 7 4 3 3 8 7 3
[sorting] 7 4 0 2 2 7 1 9 7 7 0 2 | 0 0 1 2 2 2 4 7 7 7 7 9
[reversing] 7 3 3 4 4 5 0 9 | 9 0 5 4 4 3 3 7
[copying] AQMCNU | AQMCNUAQMCNUAQMCNUAQMCNU
[copying] OSXVCG | OSXVCGOSXVCGOSXVCGOSXVCG
[addition] 85 + 67 | 152
[copying] LYXPZ | LYXPZLYXPZ
[sorting] 7 9 6 0 2 9 3 | 0 2 3 6 7 9 9
[addition] 680 + 2 | 682
[relations] E381 is parent of E921. E921 is parent of E719. Who is the ancestor 2 of E719? | E381
[addition] 773 + 49 | 822
[relations] E849 is parent of E155. E155 is parent of E154. Who is the ancestor 2 of E154? | E849
[copying] GBUVLQ | GBUVLQGBUVLQGBUVLQGBUVLQ
[relations] E405 is parent of E5. Who is the ancestor 1 of E5? | E405
[copying] WP | WPWPWPWP
[reversing] 2 9 1 5 8 2 9 7 6 3 | 3 6 7 9 2 8 5 1 9 2
[addition] 5 + 5 | 10
[relations] E275 is parent of E817. Who is the ancestor 1 of E817? | E275
[sorting] 8 6 8 7 8 2 4 3 2 7 0 | 0 2 2 3 4 6 7 7 8 8 8
[copying] VZFOLH | VZFOLHVZFOLHVZFOLHVZFOLH
[copying] FO | FOFOFOFO
[addition] 8 + 0 | 8
[copying] SWKJAW | SWKJAWSWKJAW
[sorting] 2 2 5 3 5 5 0 3 9 | 0 2 2 3 3 5 5 5 9
[reversing] 2 8 6 1 | 1 6 8 2
[sorting] 7 9 6 1 1 3 3 3 | 1 1 3 3 3 6 7 9
[addition] 3655 + 618 | 4273
[reversing] 4 2 1 1 | 1 1 2 4
[relations] E600 is parent of E478. Who is the ancestor 1 of E478? | E600
[relations] E248 is parent of E636. Who is the ancestor 1 of E636? | E248
[addition] 58 + 5 | 63
[addition] 89 + 355 | 444
[sorting] 1 8 1 0 3 2 7 6 | 0 1 1 2 3 6 7 8
[reversing] 7 1 6 9 5 9 3 5 | 5 3 9 5 9 6 1 7
[reversing] 6 7 4 3 | 3 4 7 6
[sorting] 0 8 3 3 6 9 7 7 9 0 | 0 0 3 3 6 7 7 8 9 9
[copying] IVJQ | IVJQIVJQIVJQIVJQ
[copying] LVV | LVVLVVLVV
[reversing] 9 6 9 4 0 | 0 4 9 6 9
[reversing] 0 7 6 4 7 7 7 7 9 7 | 7 9 7 7 7 7 4 6 7 0
[addition] 1 + 59 | 60
[copying] FBFSQL | FBFSQLFBFSQLFBFSQL
[addition] 65 + 42 | 107
[sorting] 3 1 1 4 5 2 7 | 1 1 2 3 4 5 7
[copying] VSLGP | VSLGPVSLGP
[relations] E191 is parent of E846. Who is the ancestor 1 of E846? | E191
[sorting] 0 8 8 1 6 4 8 | 0 1 4 6 8 8 8
[relations] E353 is parent of E684. E684 is parent of E493. Who is the ancestor 2 of E493? | E353
[relations] E377 is parent of E523. E523 is parent of E808. Who is the ancestor 2 of E808? | E377
[addition] 252 + 4288 | 4540
[addition] 5248 + 2641 | 7889
[copying] FBA | FBAFBAFBAFBA
[copying] QJQCGD | QJQCGDQJQCGD
[relations] E395 is parent of E69. E69 is parent of E128. Who is the ancestor 2 of E128? | E395
[addition] 648 + 2 | 650
[sorting] 4 4 8 2 1 2 5 1 | 1 1 2 2 4 4 5 8
[addition] 373 + 930 | 1303
[copying] RHDIA | RHDIARHDIA
[addition] 6 + 544 | 550
[sorting] 4 4 7 3 3 3 4 | 3 3 3 4 4 4 7
[sorting] 3 3 4 3 4 5 1 5 2 1 9 | 1 1 2 3 3 3 4 4 5 5 9
[addition] 5 + 41665 | 41670
[copying] OKI | OKIOKIOKIOKI
[reversing] 8 6 8 9 2 1 2 4 | 4 2 1 2 9 8 6 8
[sorting] 6 9 1 9 1 | 1 1 6 9 9
[copying] NTE | NTENTENTENTE
[relations] E760 is parent of E334. Who is the ancestor 1 of E334? | E760
[addition] 305 + 8 | 313
[addition] 103 + 37 | 140
[addition] 5905 + 229 | 6134
[relations] E104 is parent of E426. E426 is parent of E360. Who is the ancestor 2 of E360? | E104
[relations] E267 is parent of E777. Who is the ancestor 1 of E777? | E267
[relations] E801 is parent of E637. Who is the ancestor 1 of E637? | E801
[sorting] 2 0 3 9 0 1 | 0 0 1 2 3 9
[addition] 34192 + 33 | 34225
[copying] SAMYT | SAMYTSAMYTSAMYT
[addition] 367 + 6 | 373
[sorting] 1 7 0 6 0 4 5 6 0 | 0 0 0 1 4 5 6 6 7
[relations] E536 is parent of E272. E272 is parent of E783. Who is the ancestor 2 of E783? | E536
[addition] 308 + 832 | 1140
[sorting] 2 2 4 6 6 3 0 5 6 4 4 | 0 2 2 3 4 4 4 5 6 6 6
[copying] YKBN | YKBNYKBNYKBN
[addition] 23156 + 399 | 23555
[sorting] 4 3 5 2 5 8 7 | 2 3 4 5 5 7 8
[sorting] 9 7 6 6 0 4 9 6 | 0 4 6 6 6 7 9 9
[reversing] 8 6 3 0 1 5 2 5 | 5 2 5 1 0 3 6 8
[reversing] 3 7 7 6 | 6 7 7 3
[addition] 53 + 782 | 835
[relations] E214 is parent of E207. E207 is parent of E307. Who is the ancestor 2 of E307? | E214
[copying] GM | GMGM
[copying] STL | STLSTL
[sorting] 4 9 7 8 | 4 7 8 9
[sorting] 1 7 1 2 9 2 | 1 1 2 2 7 9
[addition] 84 + 225 | 309
[relations] E901 is parent of E99. E99 is parent of E753. Who is the ancestor 2 of E753? | E901
[copying] WJHYBN | WJHYBNWJHYBNWJHYBN
[copying] THO | THOTHOTHOTHO
[sorting] 5 3 0 4 0 1 4 7 4 2 6 | 0 0 1 2 3 4 4 4 5 6 7
[reversing] 0 5 1 6 5 3 1 3 6 | 6 3 1 3 5 6 1 5 0
[reversing] 0 7 0 0 0 0 5 0 3 4 2 6 | 6 2 4 3 0 5 0 0 0 0 7 0
[sorting] 4 2 9 8 3 2 1 1 | 1 1 2 2 3 4 8 9
[reversing] 0 0 5 1 9 1 1 6 9 6 3 | 3 6 9 6 1 1 9 1 5 0 0
[sorting] 9 7 9 5 3 7 7 | 3 5 7 7 7 9 9
[relations] E485 is parent of E863. E863 is parent of E747. Who is the ancestor 2 of E747? | E485
[relations] E515 is parent of E988. Who is the ancestor 1 of E988? | E515
[addition] 9 + 90 | 99
[relations] E318 is parent of E665. Who is the ancestor 1 of E665? | E318
[relations] E197 is parent of E539. Who is the ancestor 1 of E539? | E197
[addition] 77 + 57 | 134
[copying] ERZ | ERZERZERZERZ
[sorting] 0 4 7 3 8 3 6 8 2 | 0 2 3 3 4 6 7 8 8
[addition] 2 + 59 | 61
[copying] JRGSW | JRGSWJRGSW
[copying] NN | NNNN
[relations] E224 is parent of E963. Who is the ancestor 1 of E963? | E224
[reversing] 1 3 6 1 8 4 | 4 8 1 6 3 1
[relations] E804 is parent of E933. E933 is parent of E590. Who is the ancestor 2 of E590? | E804
[reversing] 9 7 8 4 1 3 | 3 1 4 8 7 9
[addition] 578 + 0 | 578
[reversing] 4 6 8 6 | 6 8 6 4
[copying] CHSDB | CHSDBCHSDB
[reversing] 7 5 8 6 | 6 8 5 7
[addition] 22 + 6 | 28
[copying] TERH | TERHTERHTERHTERH
[copying] DK | DKDK
[copying] NJIFNL | NJIFNLNJIFNLNJIFNL
[reversing] 5 3 0 6 1 3 | 3 1 6 0 3 5
[addition] 58 + 2 | 60
[addition] 504 + 152 | 656
[sorting] 3 8 1 8 4 6 7 4 7 5 1 | 1 1 3 4 4 5 6 7 7 8 8
[addition] 263 + 4 | 267
[sorting] 4 2 1 3 2 2 2 0 0 0 3 | 0 0 0 1 2 2 2 2 3 3 4
[sorting] 5 2 4 4 8 6 9 | 2 4 4 5 6 8 9
[reversing] 1 1 7 3 7 3 6 6 7 8 | 8 7 6 6 3 7 3 7 1 1
[relations] E108 is parent of E723. Who is the ancestor 1 of E723? | E108
[addition] 90 + 164 | 254
[addition] 7 + 65 | 72
[relations] E702 is parent of E219. Who is the ancestor 1 of E219? | E702
[reversing] 8 3 9 7 3 0 8 9 6 4 2 | 2 4 6 9 8 0 3 7 9 3 8
[addition] 3 + 6 | 9
[addition] 65 + 93 | 158
[relations] E196 is parent of E459. E459 is parent of E720. Who is the ancestor 2 of E720? | E196
[copying] GEX | GEXGEXGEX
[reversing] 8 6 6 | 6 6 8
[sorting] 5 1 8 4 2 5 2 9 7 8 0 8 | 0 1 2 2 4 5 5 7 8 8 8 9
[copying] XALHWW | XALHWWXALHWW
[copying] WFWA | WFWAWFWAWFWA
[copying] EKLMWS | EKLMWSEKLMWSEKLMWS
[sorting] 9 2 6 4 7 7 1 2 7 | 1 2 2 4 6 7 7 7 9
